titulo,empresa,ciudad,modalidad,fecha,link
Business Developer para consultor de Recursos Humanos,LideRHa,"Córdoba, Córdoba",Remoto,Hace  4  horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-business-developer-para-consultor-de-recursos-humanos-cordoba-capital-en-cordoba-984799454385033A61373E686DCF3405#lc=ListOffers-Score4-0
Senior Backend Python Developer,Kaizen Recursos Humanos,"Monserrat, Capital Federal",Remoto,Hace  7  horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-senior-backend-python-developer-remoto-para-residentes-en-argentina-en-monserrat-145645B09A88886561373E686DCF3405#lc=ListOffers-Score4-1
Ref. 21290: Azure Developer /  Remoto AMBA,ADN - Recursos Humanos,"Recoleta, Capital Federal",Remoto,Hace  9  horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ref-21290-azure-developer--remoto-amba-en-recoleta-08BA767A3219802661373E686DCF3405#lc=ListOffers-Score4-2
Ref. 21292: Vermilion Engineer / Developer / Remoto AMBA,ADN - Recursos Humanos,"Recoleta, Capital Federal",Remoto,Hace  9  horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ref-21292-vermilion-engineer-developer-remoto-amba-en-recoleta-2614DC4CB11EC23A61373E686DCF3405#lc=ListOffers-Score4-3
Ref. 20595: Desarrollador Python / FastAPI / Remoto,ADN - Recursos Humanos,"Recoleta, Capital Federal",Remoto,Hace  9  horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ref-20595-desarrollador-python-fastapi-remoto-en-recoleta-C943033CF0F6406661373E686DCF3405#lc=ListOffers-Score4-4
Ref. 21292: Analista Power BI / Developer / Remoto AMBA,ADN - Recursos Humanos,"Recoleta, Capital Federal",Remoto,Hace  9  horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ref-21292-analista-power-bi-developer-remoto-amba-en-recoleta-9608D7E03476BAB061373E686DCF3405#lc=ListOffers-Score4-5
Desarrollador Python Senior / Remoto,ADN - Recursos Humanos,"Palermo, Capital Federal",Remoto,Hace  11  horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-python-senior-remoto-en-palermo-2989097B8E055F1F61373E686DCF3405#lc=ListOffers-Score4-6
Desarrollador Frontend React Native,Fortia RH,"Córdoba, Córdoba",Remoto,Hace  15  horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-frontend-react-native-software-factory-en-cordoba-5630BD98DEE22CA961373E686DCF3405#lc=ListOffers-Score4-7
Desarrollador Backend .Net,Fortia RH,"Córdoba, Córdoba",Remoto,Hace  16  horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-backend-net-c-en-cordoba-6CB065423F4C3AD661373E686DCF3405#lc=ListOffers-Score4-8
Senior Backend Python Developer,Kaizen Recursos Humanos,"Monserrat, Capital Federal",Remoto,Hace  8  horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-senior-backend-python-developer-remoto-para-residentes-en-argentina-en-monserrat-788376B0FA65A4D661373E686DCF3405#lc=ListOffers-Score4-9
Ref. 21290: Azure Developer /  Remoto AMBA,ADN - Recursos Humanos,"Recoleta, Capital Federal",Remoto,Hace  9  horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ref-21290-azure-developer--remoto-amba-en-recoleta-35757FF54BD70AC261373E686DCF3405#lc=ListOffers-Score4-10
Ref. 20595: Desarrollador Python / FastAPI / Remoto,ADN - Recursos Humanos,"Recoleta, Capital Federal",Remoto,Hace  9  horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ref-20595-desarrollador-python-fastapi-remoto-en-recoleta-04478AE03B82872E61373E686DCF3405#lc=ListOffers-Score4-11
Ref 5819 Desarrollador Oracle Forms Report Apex,IMPLEMENTAR Consultores  SRL,"Monserrat, Capital Federal",Remoto,Ayer,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ref-5819-desarrollador-oracle-forms-report-apex-mas-de-4-anos-en-posicion-similar-en-monserrat-41D18CA02E0C6E3461373E686DCF3405#lc=ListOffers-Score4-12
